"ID" "year" "age" "eggs" "lifespan" "julianDate"
"543774-MMY" 1988 2 4 4 281
"543774-MMY" 1988 2 4 4 321
"543774-MMY" 1988 2 4 4 349
"543840-ORN" 1988 1 3 2 311
"543840-ORN" 1988 1 2 2 347
"543840-ORN" 1988 1 3 2 370
"574511-OYG" 1988 1 3 2 291
"574712-YGR" 1988 2 3 3 318
"574712-YGR" 1988 2 3 3 347
"574717-YOO" 1988 1 3 1 300
"574717-YOO" 1988 1 2 1 329
"574717-YOO" 1988 1 3 1 361
"574724-YMB" 1988 1 4 3 349
"574748-NGB" 1988 1 2 2 286
"574748-NGB" 1988 1 3 2 317
"574751-NON" 1988 1 3 3 296
"574751-NON" 1988 1 3 3 355
"574761-MRG" 1988 1 3 4 294
"574761-MRG" 1988 1 3 4 328
"574761-MRG" 1988 1 3 4 359
"543774-MMY" 1989 3 3 4 273
"543774-MMY" 1989 3 3 4 313
"543774-MMY" 1989 3 3 4 349
"574712-YGR" 1989 3 3 3 266
"574712-YGR" 1989 3 3 3 323
"574712-YGR" 1989 3 3 3 347
"574712-YGR" 1989 3 2 3 364
"574724-YMB" 1989 2 4 3 281
"574724-YMB" 1989 2 2 3 300
"574724-YMB" 1989 2 2 3 313
"574724-YMB" 1989 2 3 3 376
"574751-NON" 1989 2 3 3 309
"574751-NON" 1989 2 2 3 351
"574761-MRG" 1989 2 3 4 268
"574761-MRG" 1989 2 4 4 301
"574761-MRG" 1989 2 3 4 370
"596662-GYN" 1989 1 4 2 318
"596662-GYN" 1989 1 3 2 360
"596713-YgwB" 1989 1 3 2 298
"596713-YgwB" 1989 1 3 2 337
"596748-GNB" 1989 1 3 1 286
"596791-GWY" 1989 1 3 2 316
"596791-GWY" 1989 1 3 2 328
"596791-GWY" 1989 1 3 2 364
"596801-GWR" 1989 1 3 6 300
"596801-GWR" 1989 1 3 6 319
"626691-GBW" 1989 1 4 8 346
"543774-MMY" 1990 4 3 4 348
"574751-NON" 1990 3 3 3 299
"574751-NON" 1990 3 3 3 341
"583809-mGMW" 1990 1 4 8 295
"583809-mGMW" 1990 1 3 8 308
"583809-mGMW" 1990 1 3 8 345
"596662-GYN" 1990 2 2 2 313
"596662-GYN" 1990 2 2 2 360
"596713-YgwB" 1990 2 2 2 334
"596751-BWM" 1990 2 3 8 342
"596751-BWM" 1990 2 3 8 331
"626685-WWR" 1990 1 2 4 305
